region,combination,player_games,regional_player_game_share_pct,prevalence_rank,placing,observations,mean_rating_change
jp,R1 / GM+0,118,9.069946195234435,5,2,20,17.7
jp,R1 / GM+0,118,9.069946195234435,5,3,23,-0.8695652173913043
jp,R1 / GM+0,118,9.069946195234435,5,4,17,-21.88235294117647
jp,R1 / GM+0,118,9.069946195234435,5,5,8,-55.75
jp,R1 / GM+0,118,9.069946195234435,5,6,11,-41.63636363636363
jp,R1 / GM+1,134,10.29976940814758,4,1,62,28.580645161290324
jp,R1 / GM+1,134,10.29976940814758,4,2,25,7.0
jp,R1 / GM+1,134,10.29976940814758,4,3,17,-10.823529411764707
jp,R1 / GM+1,134,10.29976940814758,4,4,11,-29.181818181818183
jp,R1 / GM+1,134,10.29976940814758,4,5,6,-42.666666666666664
jp,R1 / GM+1,134,10.29976940814758,4,6,13,-92.92307692307692
jp,R2 / GM+1,421,32.359723289777094,1,1,207,19.82125603864734
jp,R2 / GM+1,421,32.359723289777094,1,2,86,4.267441860465116
jp,R2 / GM+1,421,32.359723289777094,1,3,58,-17.74137931034483
jp,R2 / GM+1,421,32.359723289777094,1,4,31,-20.387096774193548
jp,R2 / GM+1,421,32.359723289777094,1,5,32,-63.0625
jp,R2 / GM+1,421,32.359723289777094,1,6,7,-61.142857142857146
jp,R2 / GM+2,250,19.21598770176787,2,1,132,50.121212121212125
jp,R2 / GM+2,250,19.21598770176787,2,2,49,12.16326530612245
jp,R2 / GM+2,250,19.21598770176787,2,3,22,-36.72727272727273
jp,R2 / GM+2,250,19.21598770176787,2,4,22,-74.18181818181819
jp,R2 / GM+2,250,19.21598770176787,2,5,17,-138.1764705882353
jp,R2 / GM+2,250,19.21598770176787,2,6,8,-182.5
kr,R0 / GM+0,1245,22.303833751343603,2,1,256,56.01953125
kr,R0 / GM+0,1245,22.303833751343603,2,2,248,32.608870967741936
kr,R0 / GM+0,1245,22.303833751343603,2,3,196,7.540816326530612
kr,R0 / GM+0,1245,22.303833751343603,2,4,199,-19.487437185929647
kr,R0 / GM+0,1245,22.303833751343603,2,5,197,-47.01015228426396
kr,R0 / GM+0,1245,22.303833751343603,2,6,149,-71.04026845637584
kr,R0 / GM+1,644,11.537083482622716,4,1,134,60.75373134328358
kr,R0 / GM+1,644,11.537083482622716,4,2,119,35.20168067226891
kr,R0 / GM+1,644,11.537083482622716,4,3,115,6.834782608695652
kr,R0 / GM+1,644,11.537083482622716,4,4,96,-23.875
kr,R0 / GM+1,644,11.537083482622716,4,5,87,-51.32183908045977
kr,R0 / GM+1,644,11.537083482622716,4,6,93,-84.20430107526882
kr,R1 / GM+1,732,13.113579362235757,3,1,198,42.0959595959596
